category,question,answer
Animals,What kind of animal is the emblem of the US republican political party?,Elephant
Animals,What color is an ocelot?,Yellow with black markings
Animals,Which type of animals have more teeth reptiles or mammals?,Mammals
Animals,A cow normally has how many teats?,Four
Animals,What is the only venomous snake found in Britain?,Adder
Animals,What type of leaves does a Koala use for food?,Eucalyptus
Animals,What type of animal is the main source of food for a mole?,Earthworms
Animals,What is another name for a Guinea Pig?,Cavy
Animals,What kind of animals live in an apiary?,Bees
Animals,What was Tarzan's Chimpanzee's name?,Cheta
Animals,Celeste was the wife of which fictional animal?,Babar the Elephant
Animals,What were the names of the two bears that lived in Jellystone Park?,Yogi and Boo Boo
Animals,What is the name for a collection of frogs?,Army
Animals,What kind of animal was Gentle Ben on the TV show?,Bear
Animals,A female donkey is called a what?,Jenny
Animals,On a common lady bug what color are the spots?,Black
Animals,Which subhuman primate is the most intelligent?,Chimpanzee
Animals,A mandrill is what type of creature?,Monkey
Animals,The most Asian elephants to be found in their natural habitat can be found in what country?,India
Animals,Which animal is the fastest a hare greyhound or horse?,Hare
Animals,What type of animal is a Tasmanian Devil?,Marsupial
Animals,Which sense is the weakest sense in most primates?,Sense of Smell
Animals,Sika fallow and Roe are what types of animal?,Deer
Animals,Animals living in what type of habitat are arboreal animals?trees,In or amongst
Animals,What type of animal produces gossamer?,Spider
Animals,What kind of animal is the source of mohair?,Angora Goat
Animals,What land mammal other than man has the longest lifespan?,Elephant
Animals,Lupus is the Latin name for what animal?,Wolf
Animals,Who was the British TV personality that presented the show Animal Magic?,Johnny Morris
Animals,Michael Bond created what famous bear?,Paddington Bear
Animals,Walt Disney's famous deer was named what?,Bambi
Animals,A horse named Black Bess was ridden by who?,Dick Trupin
Animals,In the Lone Range what was Tonto's horse's name?,Scout
Animals,What kind of animals were Chi Chi and An An?,Panda bears
Animals,In the Jungle Book what kind of creature was Baloo?,A bear
Animals,How do bees communicate with each other?,Dancing
Animals,A stoat produces fur called what?,Ermine
Animals,What type of insect eats its mate after mating?,Preying Mantis
Animals,Coral and algae have what kind of relationship?,Symbiotic
Animals,What kind of animals don't hunt or eat any meat?,Herbivore
Animals,What is the name of the largest land animal?,Elephant
Animals,When caterpillar changes into an adult butterfly what is the change called?,Metamorphous
Animals,The study of animals is given the name of what?,Zoology
Animals,What type of mammals fly using echolocation?,Bats
Animals,How many types of panda are there?,Two
Animals,The longest beetle in the world is how long?,Six inches
Animals,Animals without backbones are called what?,Invertebrates
Animals,An earthworm has how many hearts?,5
Animals,A fluke is what kind of animal?,Worm
Animals,The spots on a plaice are what color?,Orange
Animals,An abalone is what kind of animal?,Marine snail
Animals,The study of birds eggs is called what?,Oology
Animals,What is the offspring of a mare and a male ass called?,A mule
Animals,On a rabbit where would you find a scut?,The tail
Animals,In Thailand what is the sacred animal?,The white elephant
Animals,Alphabetically what animal comes first in the Chinese horoscope?,Boar
Animals,Alphabetically what animal comes last in the Chinese horoscope?,Tiger
Animals,What type of animal is the symbol of medicine?,Snake
Animals,Which type of semi aquatic animal is a lutra-lutra?,An Otter
Animals,What animals make a sound called nuzzing?,Camels
Animals,What animal is the symbol of long life in Korea?,The Deer
Animals,A Curry Comb is used on what type of creature?,Horse
Animals,The llama belongs to what family to what family of animals?,Camel
Animals,Eskimos call what kind of creature a nanook?,Polar Bear
Animals,Which animal has the longest lifespan in captivity?,Giant Tortoise
Animals,In Peru what animal provides 50% of all the protein eatin?,The Guinea Pig
Animals,What animal pollinates banana plants in the wild?,Bats
Animals,A fennec is what type of animal?,A Desert Fox
Animals,What kind of creature always gives birth to same sex twins?,Armadillo
Animals,The Suidae family is made up of what animals?,Pigs
Animals,A markhor is what type of animal?,Wild goat
Animals,What type of insect has the best eyesight?,Dragonfly
Animals,What form was the Egyptian god Sobek?,Crocodile
Animals,A cow's stomach has how many chambers?,4
Animals,How many humps does an African camel have?,One
Animals,Who are the queen bee's closest servants in a beehive?,Drones
Animals,What is the animal with the Latin name syncerus caffer?,Cape Buffalo
Animals,A Quagga is an extinct animal that was a distant cousin to which animal that exists today?,Zebra
Animals,What does a carpophagus animal feed on?,Fruit
Animals,Which animal has rectangular pupils?, Goat
Animals,What kind of animal mates only once for 12 hours and can sleep for three years?,Snail
Animals,Do mosquitoes have teeth?,yes
Animals,A typical mayfly lives for how many days?,One
Animals,What is a fox's den called?,Earth
Animals,What is the only mammal that can't jump?,Elephant
Animals,What bird can swim but can't fly?,Penguin
Animals,Which Fred is the Daily Mail's cartoon dog?,Fred Bassett
Animals,In Winnie the Pooh what kind of animal is Eeyore?,Donkey
Animals,What type of creature is a Basilisk?,Lizard
Animals,What type of animal according to Beatrix Potter was Mr Jeremy Fisher?,Frog
Animals,Which animal appears first in the dictionary?,Aardvark
Animals,What is the name given to the young of a Kangaroo?,Joey
Animals,What creature was Will Smith's codename in the movie Independence day?,Eagle
Animals,What is a Natterjack?,Toad
Animals,What is the smallest bird in the world?,Hummingbird
